File,Original GPOS Size,mode=one,Change one,mode=auto,Change auto,mode=max,Change max
ABeeZee-Italic.ttf,8.53,8.53,0.00%,8.53,0.00%,8.53,0.00%
ABeeZee-Regular.ttf,8.21,8.21,0.00%,8.21,0.00%,8.21,0.00%
AbhayaLibre-Bold.ttf,3.13,1.96,-37.27%,1.96,-37.27%,1.96,-37.27%
AbhayaLibre-ExtraBold.ttf,3.13,1.96,-37.27%,1.96,-37.27%,1.96,-37.27%
AbhayaLibre-Medium.ttf,3.13,1.96,-37.27%,1.96,-37.27%,1.96,-37.27%
AbhayaLibre-Regular.ttf,3.13,1.96,-37.27%,1.96,-37.27%,1.96,-37.27%
AbhayaLibre-SemiBold.ttf,3.13,1.96,-37.27%,1.96,-37.27%,1.96,-37.27%
AbrilFatface-Regular.ttf,18.28,12.64,-30.82%,14.35,-21.50%,29.05,58.92%
AbyssinicaSIL-Regular.ttf,5.92,5.92,0.00%,5.92,0.00%,5.92,0.00%
Actor-Regular.ttf,12.07,12.06,-0.10%,9.98,-17.33%,14.54,20.45%
Adamina-Regular.ttf,12.04,12.02,-0.10%,12.12,0.73%,13.80,14.69%
AdventPro-Bold.ttf,6.34,6.34,0.00%,6.34,0.00%,6.34,0.00%
AdventPro-ExtraLight.ttf,6.74,6.74,-0.09%,6.31,-6.46%,6.89,2.17%
AdventPro-Light.ttf,6.74,6.73,-0.09%,6.36,-5.62%,6.89,2.26%
AdventPro-Medium.ttf,6.34,6.34,0.00%,6.34,0.00%,6.34,0.00%
AdventPro-Regular.ttf,6.31,6.31,0.00%,6.31,0.00%,6.31,0.00%
AdventPro-SemiBold.ttf,6.34,6.34,0.00%,6.34,0.00%,6.34,0.00%
AdventPro-Thin.ttf,6.74,6.73,-0.09%,6.30,-6.47%,6.90,2.46%
AguafinaScript-Regular.ttf,1.62,1.61,-0.72%,1.61,-0.72%,1.61,-0.72%
AkayaKanadaka-Regular.ttf,39.02,39.02,0.00%,29.32,-24.85%,43.89,12.49%
AkayaTelivigala-Regular.ttf,25.90,25.90,0.00%,29.96,15.66%,43.16,66.60%
AksaraBaliGalang-Regular.ttf,0.08,0.08,0.00%,0.08,0.00%,0.08,0.00%
